id,name,size,proof,abv,spirit_type,brand_id,popularity,image_url,avg_msrp,fair_price,shelf_price,total_score,wishlist_count,vote_count,bar_count,ranking
4299,Jack Daniel's Single Barrel Select,750,94,47,Whiskey,231,100044,https://d1w35me0y6a2bb.cloudfront.net/newproducts/recwHdGGMUldgjdIa,48.14,76.97,59.42,3965,290,932,2743,95
1046,Double Eagle Very Rare,750,90,45,Bourbon,542,1996,https://d1w35me0y6a2bb.cloudfront.net/newproducts/recIveSV3lbCKdxSl,1944.94,3048.26,12138.3,3864,1476,2324,64,96
17358,Jack Daniel's Coy Hill Single Barrel,750,148,74,Whiskey,231,1996,https://d1w35me0y6a2bb.cloudfront.net/newproducts/reckCIyTg28kgJlIL,69.99,276.99,572.89,3855,1352,1960,543,97
16960,Basil Hayden Toast,750,,40,Bourbon,330,600,https://d1w35me0y6a2bb.cloudfront.net/newproducts/reclxqPnJFmtXz1Hs,51.63,71.49,58.94,3823,350,558,2915,98
2533,Knob Creek 9 Year Single Barrel Reserve,750,120,60,Bourbon,189,100028,https://d1w35me0y6a2bb.cloudfront.net/newproducts/rec0lVJZoWzPEe8Zq,55.1,85.23,67.62,3789,304,942,2543,99
803,Redwood Empire Pipe Dream,750,90,45,Bourbon,445,100043,https://d1w35me0y6a2bb.cloudfront.net/newproducts/recfASyAiie5Usqpq,40.64,50.33,45.91,3756,371,922,2463,100
3755,Angel's Envy Rye,750,100,50,Rye,96,100,https://d1w35me0y6a2bb.cloudfront.net/newproducts/recpIny97F3YHHfFY,95.69,125.56,110,3749,390,1058,2301,101
19547,Jack Daniel’s 12 Year Tennessee Whiskey #1,750,107,53.5,Whiskey,231,100047,https://d1w35me0y6a2bb.cloudfront.net/newproducts/7800313d-960f-4348-a7e6-64c13916885f,82.48,188.35,359,3658,874,1173,1611,102
16681,Blanton's Black,750,80,40,Bourbon,10,100033,https://d1w35me0y6a2bb.cloudfront.net/newproducts/rec0xGiQNs5KPhNXy,199.99,294.28,224.73,3654,1729,848,1077,103
2706,Elijah Craig Barrel Proof Batch B519,750,125,62.5,Bourbon,2,1200,https://d1w35me0y6a2bb.cloudfront.net/newproducts/rec2nnBP2xP4HSim1,62.48,101.64,89.99,3597,794,1614,1189,104
